"Location","Airport","Start","End","Ref(s)"
"Ålesund","Ålesund Airport, Vigra","1999","2001",""
"Bodø","Bodø Airport","2000","2001",""
"Fagernes","Fagernes Airport, Leirin","2000","2001",""
"Gothenburg","Göteborg Landvetter Airport","2000","2001",""
"Kristiansund","Kristiansund Airport, Kvernberget","1999","2001",""
"Oslo","Oslo Airport, Gardermoen","1998","1999",""
"Røst","Røst Airport","2000","2001",""
"Sandefjord","Sandefjord Airport, Torp","1999","2001",""
"Skien","Skien Airport, Geiteryggen","1998","1999",""
"Trondheim","Trondheim Airport, Værnes","2000","2001",""
