"No","Tournament","Year","Round","Surface","Winner","Runner Up","Score"
"1","World Covered Court Championships","1922","Final","Hard","Henri Cochet","Jean Borotra","4-6 2-6 6-2 6-3 6-0"
"2","France Interclubs Championships","1922","Round Robin","Clay","Henri Cochet","Jean Borotra","6-3 0-6 6-3"
"3","French National Championships","1922","Final","Clay","Henri Cochet","Jean Borotra","6-3 7-5 6-2"
"4","Coupe de Noel","1923","Semi Final","Hard","Jean Borotra","Henri Cochet","2-6 6-3 6-2"
"5","French Covered Court Championships","1924","Final","Hard/Wood (i)","Jean Borotra","Henri Cochet","6-2 9-7 5-7 6-4"
"6","Olympic Games","1924","Semi Final","Clay","Henri Cochet","Jean Borotra","6-2 5-7 6-2 6-3"
"7","Wimbledon Championships","1925","Semi Final","Grass","Jean Borotra","Henri Cochet","5-7 8-6 6-4 6-1"
"8","Wimbledon Championships","1926","Final","Grass","Jean Borotra","Henri Cochet","2-6 7-5 2-6 6-3 7-5"
"9","Wimbledon Championships","1927","Final","Grass","Henri Cochet","Jean Borotra","4-6 4-6 6-3 6-4 7-5"
"10","French Championships","1928","Semi Final","Clay","Henri Cochet","Jean Borotra","6-3 2-6 7-5 6-4"
"11","Coupe de Noel","1928","Final","Hard","Henri Cochet","Jean Borotra","6-3 6-4 6-3"
"12","Belgian International Covered Courts","1929","Final","Hard","Jean Borotra","Henri Cochet","7-5 6-4 3-6 6-3"
"13","French Championships","1929","Semi Final","Clay","Jean Borotra","Henri Cochet","6-3 5-7 7-5 5-7 6-4"
"14","Wimbledon Championships","1929","Final","Grass","Henri Cochet","Jean Borotra","6-4 6-3 6-4"
"15","Belgian International Championships","1930","Final","Clay","Jean Borotra","Henri Cochet","4-6 6-3 6-4 4-6 8-6"
"16","Pierre Gillou Cup","1949","Semi Final","Hard","Jean Borotra","Henri Cochet","6-1 2-6 6-4"
