"Game #","Date","Visitor","Score","Home","OT","Decision","Attendance","Record","Points"
"14","November 2","Toronto","2–3","New Jersey","","Toskala","14,523","5–6–3","13"
"15","November 3","Toronto","3–2","Montreal","","Toskala","21,273","6–6–3","15"
"16","November 6","Toronto","1–5","Ottawa","","Toskala","19,613","6–7–3","15"
"17","November 9","Toronto","3–0","Buffalo","","Raycroft","18,690","7–7–3","17"
"18","November 10 †","N.Y. Rangers","3–2","Toronto","SO","Toskala","19,503","7–7–4","18"
"19","November 13","Montreal","4–3","Toronto","OT","Raycroft","19,595","7–7–5","19"
"20","November 15","Toronto","2–5","Boston","","Raycroft","16,373","7–8–5","19"
"21","November 17","Ottawa","0–3","Toronto","","Toskala","19,596","8–8–5","21"
"22","November 20","Boston","4–2","Toronto","","Toskala","19,441","8–9–5","21"
"23","November 23","Toronto","1–3","Dallas","","Toskala","18,409","8–10–5","21"
"24","November 24","Toronto","1–5","Phoenix","","Raycroft","17,190","8–11–5","21"
"25","November 27","Montreal","4–3","Toronto","SO","Toskala","19,608","8–11–6","22"
"26","November 29","Toronto","4–2","Atlanta","","Toskala","14,031","9–11–6","24"
