"Rank","Athlete","Country","Score","Notes"
"1","Wang Yifu","China","587","Q OR"
"2","Jerzy Pietrzak","Poland","585","Q"
"3","Roberto Di Donna","Italy","585","Q"
"4","Tanyu Kiryakov","Bulgaria","584","Q"
"5","Friedhelm Sack","Namibia","583","Q"
"6","Sergei Pyzhianov","Russia","583","Q"
"7","Igor Basinski","Belarus","582","Q"
"8","Tan Zongliang","China","581","Q"
"9","Artur Gevorgjan","Germany","580",""
"9","Kanstantsin Lukashyk","Belarus","580",""
"9","Hans-Jürgen Bauer-Neumaier","Germany","580",""
"12","Gerard Fernandez","France","579",""
"12","Vladimir Isakov","Russia","579",""
"12","Kim Sung-joon","South Korea","579",""
"12","Viktor Makarov","Ukraine","579",""
"12","Yuri Melentiev","Kyrgyzstan","579",""
"17","Vigilio Fait","Italy","578",""
"17","Constantin Tarloiu","Romania","578",""
"19","Skukhrat Akhmedov","Uzbekistan","577",""
"19","Oleksandr Bliznyuchenko","Ukraine","577",""
"19","Zoltán Papanitz","Hungary","577",""
"19","Bernardo Tobar","Colombia","577",""
"23","Lennart Andersson","Sweden","576",""
"23","Zsolt Karacs","Hungary","576",""
"23","Martin Tenk","Czech Republic","576",""
"26","Sorin Babii","Romania","575",""
"26","Pål Hembre","Norway","575",""
"26","Ragnar Skanåker","Sweden","575",""
"29","Phillip Adams","Australia","574",""
"29","Tomohiro Kida","Japan","574",""
"29","Afanasijs Kuzmins","Latvia","574",""
"29","Marek Nowak","Poland","574",""
"29","Jakkrit Panichpatikum","Thailand","574",""
"29","Jaspal Rana","India","574",""
"29","Bengt Sandstrom","Australia","574",""
"36","Franck Dumoulin","France","573",""
"36","Kim Sung-joon","South Korea","573",""
"36","Sergio Sanchez","Guatemala","573",""
"39","Stanislav Jirkal","Czech Republic","572",""
"39","Alex Tripolski","Israel","572",""
"41","Neal Caloia","United States","571",""
"41","Tu Tai Hsing","Chinese Taipei","571",""
"43","Roman Špirelja","Croatia","570",""
"44","Ben Amonette","United States","569",""
"44","Jan Fabo","Slovakia","569",""
"44","Hassan Hassan","Iraq","569",""
"47","Kolio Zakhariev","Bulgaria","568",""
"48","Masaru Nakashige","Japan","567",""
"49","Myint Soe","Myanmar","555",""
"50","Surin Klomjai","Thailand","547",""
