"Draw","Country","Artist","Song","Language","Place","Points"
"01","Germany","Margot Eskens","%INLINEQ%Die Zeiger der Uhr%INLINEQ%","German","10","7"
"02","Denmark","Ulla Pia","%INLINEQ%Stop – mens legen er go'%INLINEQ%","Danish","14","4"
"03","Belgium","Tonia","%INLINEQ%Un peu de poivre, un peu de sel%INLINEQ%","French","4","14"
"04","Luxembourg","Michèle Torr","%INLINEQ%Ce soir je t'attendais%INLINEQ%","French","10","7"
"05","Yugoslavia","Berta Ambrož","%INLINEQ%Brez besed%INLINEQ%","Slovene","7","9"
"06","Norway","Åse Kleveland","%INLINEQ%Intet er nytt under solen%INLINEQ%","Norwegian","3","15"
"07","Finland","Ann Christine","%INLINEQ%Playboy%INLINEQ%","Finnish","10","7"
"08","Portugal","Madalena Iglésias","%INLINEQ%Ele e ela%INLINEQ%","Portuguese","13","6"
"09","Austria","Udo Jürgens","%INLINEQ%Merci, Chérie%INLINEQ%","German","1","31"
"10","Sweden","Lill Lindfors & Svante Thuresson","%INLINEQ%Nygammal vals%INLINEQ%","Swedish","2","16"
"11","Spain","Raphael","%INLINEQ%Yo soy aquél%INLINEQ%","Spanish","7","9"
"12","Switzerland","Madeleine Pascal","%INLINEQ%Ne vois-tu pas?%INLINEQ%","French","6","12"
"13","Monaco","Téréza","%INLINEQ%Bien plus fort%INLINEQ%","French","17","0"
"14","Italy","Domenico Modugno","%INLINEQ%Dio, come ti amo%INLINEQ%","Italian","17","0"
"15","France","Dominique Walter","%INLINEQ%Chez nous%INLINEQ%","French","16","1"
"16","Netherlands","Milly Scott","%INLINEQ%Fernando en Filippo%INLINEQ%","Dutch","15","2"
"17","Ireland","Dickie Rock","%INLINEQ%Come Back to Stay%INLINEQ%","English","4","14"
"18","United Kingdom","Kenneth McKellar","%INLINEQ%A Man Without Love%INLINEQ%","English","9","8"
