"Rank","City","District","Type","Population (2011)","Ref"
"1","Hyderabad","Hyderabad","Greater M.Corp","7,749,970",""
"2","Warangal","Warangal","Greater M.Corp","1,211,819",""
"3","Nizamabad","Nizamabad","M.Corp","310,467",""
"4","Khammam","Khammam","M.Corp","305,000",""
"5","Karimnagar","Karimnagar","M.Corp","261,185",""
"6","Ramagundam","Peddapalli","M.Corp","229,644",""
"7","Mahbubnagar","Mahbubnagar","M","190,400",""
"8","Nalgonda","Nalgonda","M","165,328",""
"9","Adilabad","Adilabad","M","117,600",""
"10","Suryapet","Suryapet","M","115,250",""
"11","Siddipet","Siddipet","M","114,091",""
"12","Miryalaguda","Nalgonda","M","109,891",""
