"No.","Date","Teams","Sport","Competition","Crowd"
"1","18 June 2006","Hawthorn vs. Richmond","Australian rules football","AFL","20,971"
"2","8 August 2009","Hawthorn vs. St Kilda","Australian rules football","AFL","20,011"
"3","9 August 2008","Hawthorn vs. Brisbane Lions","Australian rules football","AFL","19,929"
"4","31 May 2008","Hawthorn vs. Western Bulldogs","Australian rules football","AFL","19,378"
"5","4 July 2004","St Kilda vs. Port Adelaide","Australian rules football","AFL","19,223"
"6","29 April 2012","Hawthorn vs. Sydney","Australian rules football","AFL","19,217"
"7","29 July 2007","Hawthorn vs. Kangaroos","Australian rules football","AFL","19,114"
"8","26 August 2006","Hawthorn vs. Kangaroos","Australian rules football","AFL","18,836"
"9","26 May 2007","Hawthorn vs. West Coast","Australian rules football","AFL","18,112"
"10","30 July 2016","Hawthorn vs. Carlton","Australian rules football","AFL","18,112"
