"Season","Date","Winner","Score","Loser","Attendance"
"1960","January 7, 1961","Detroit Lions","17–16","Cleveland Browns","34,981"
"1961","January 6, 1962","Detroit Lions (2)","38–10","Philadelphia Eagles","25,612"
"1962","January 6, 1963","Detroit Lions (3)","17–10","Pittsburgh Steelers","36,284"
"1963","January 5, 1964","Green Bay Packers","40–23","Cleveland Browns","54,921"
"1964","January 3, 1965","St. Louis Cardinals","24–17","Green Bay Packers","56,218"
"1965","January 9, 1966","Baltimore Colts","35–3","Dallas Cowboys","65,569"
"1966","January 8, 1967","Baltimore Colts (2)","20–14","Philadelphia Eagles","58,088"
"1967","January 7, 1968","Los Angeles Rams","30–6","Cleveland Browns","37,102"
"1968","January 5, 1969","Dallas Cowboys","17–13","Minnesota Vikings","22,961"
"1969","January 3, 1970","Los Angeles Rams (2)","31–0","Dallas Cowboys","31,151"
