"Grid","No.","Driver","Manufacturer","Qualifying time","Speed","Owner"
"1","M-1","Fireball Roberts","'55 Buick","2:58.890","110.682","Bob Fish"
"2","89","Buck Baker","'55 Buick","3:00.840","109.489","Buck Baker"
"3","87","Speedy Thompson","'54 Oldsmobile","3:02.020","108.779","Bob Griffin"
"4","25","Bill Widenhouse","'55 Chevrolet","3:02.450","108.522","Sam McCutchen"
"5","82","Joe Eubanks","'55 Oldsmobile","3:04.360","107.398","Phil Oates"
"6","16","Tim Flock","'55 Chrysler","2:56.720","112.041","Carl Kiekhaefer"
"7","9","Joe Weatherly","'55 Ford","3:01.640","109.006","Charlie Schwam"
"8","92","Herb Thomas","'55 Chevrolet","3:01.720","108.958","Herb Thomas"
"9","8","Billy Carden","'55 Buick","3:05.620","106.727","Bishop Brothers"
"10","78","Jimmy Paschal","'55 Oldsmobile","3:06.060","106.417","Ernest Woods"
