"Name","State","Birth","Death","Year appointed","Left office","Appointed by","Reason for termination"
"Roger B. Taney","Maryland","1777","1864","1836","1864","Jackson","death"
"Edward Douglass White","Louisiana","1845","1921","1894","1921","Cleveland (associate) Taft (chief)","death"
"Joseph McKenna","California","1843","1926","1898","1925","McKinley","retirement"
"Pierce Butler","Minnesota","1866","1939","1923","1939","Harding","death"
"Frank Murphy","Michigan","1890","1949","1940","1949","F. Roosevelt","death"
"Sherman Minton","Indiana","1890","1965","1949","1956","Truman","death"
"William J. Brennan, Jr.","New Jersey","1906","1997","1956","1990","Eisenhower","death"
"Antonin Scalia","New Jersey","1936","2016","1986","2016","Reagan","death"
"Anthony Kennedy","California","1936","living","1988","2018","Reagan","retirement"
"Clarence Thomas","Georgia","1948","living","1991","incumbent","G. H. W. Bush","—"
"John Roberts","Maryland","1955","living","2005","incumbent","G. W. Bush","—"
"Samuel Alito","New Jersey","1950","living","2006","incumbent","G. W. Bush","—"
"Sonia Sotomayor","New York","1954","living","2009","incumbent","Obama","—"
"Brett Kavanaugh","Washington, D.C.","1965","living","2018","incumbent","Trump","—"
