"No.","Event year","Season","Flag bearer","Sport"
"1","1906","Summer","William Grenfell","Fencing"
"2","1908","Summer","Kynaston Studd","Cricket"
"3","1912","Summer","Charles Smith","Water polo"
"4","1920","Summer","Philip Noel-Baker","Athletics"
"5","1924","Summer","Arthur Hunt","Water polo"
"6","1928","Summer","Malcolm Nokes","Athletics"
"7","1932","Winter","Mollie Phillips","Figure skating"
"8","1932","Summer","David Cecil","Athletics"
"9","1936","Winter","Frederick McEvoy","Bobsleigh"
"10","1936","Summer","Jack Beresford","Rowing"
"11","1948","Winter","Henry Graham Sharp","Figure skating"
"12","1948","Summer","John Emrys Lloyd","Fencing"
"13","1952","Winter","John Nicks","Figure skating"
"14","1952","Summer","Harold Whitlock","Athletics"
"15","1956","Winter","Stuart Parkinson","Bobsleigh"
"16","1956","Summer","George MacKenzie","Wrestling"
"17","1960","Winter","John Moore","Biathlon"
"18","1960","Summer","Richard McTaggart","Boxing"
"19","1964","Winter","Keith Schellenberg","Bobsleigh & Luge"
"20","1964","Summer","Anita Lonsbrough","Swimming"
"21","1968","Winter","Robin Dixon","Bobsleigh"
"22","1968","Summer","Lynn Davies","Athletics"
"23","1972","Winter","Mike Freeman","Bobsleigh"
"24","1972","Summer","David Broome","Equestrianism"
"25","1976","Winter","John Curry","Figure skating"
"26","1976","Summer","Rodney Pattisson","Sailing"
"27","1980","Winter","Jeremy Palmer-Tomkinson","Alpine skiing & Luge"
"28","1980","Summer","Dick Palmer","Official (See: #Boycotts)"
"29","1984","Winter","Christopher Dean","Ice dancing"
"30","1984","Summer","Lucinda Green","Equestrianism"
"31","1988","Winter","Nick Phipps","Bobsleigh"
"32","1988","Summer","Ian Taylor","Field hockey"
"33","1992","Winter","Wilf O'Reilly","Speed skating"
"34","1992","Summer","Steve Redgrave","Rowing"
"35","1994","Winter","Mike Dixon","Biathlon"
"36","1996","Summer","Steve Redgrave","Rowing"
"37","1998","Winter","Mike Dixon","Biathlon"
"38","2000","Summer","Matthew Pinsent","Rowing"
"39","2002","Winter","Mike Dixon","Biathlon"
"40","2004","Summer","Kate Howey","Judo"
"41","2006","Winter","Rhona Martin","Curling"
"42","2008","Summer","Mark Foster","Swimming"
"43","2010","Winter","Shelley Rudman","Skeleton"
"44","2012","Summer","Chris Hoy","Cycling"
"45","2014","Winter","Jon Eley","Short track speed skating"
"46","2016","Summer","Andy Murray","Tennis"
"47","2018","Winter","Lizzy Yarnold","Skeleton"
