"Year","Viewers (millions)","Rating","Teams","Stage","Channel"
"2015","26.7m","12.9","United States v. Japan","Final","FOX & Telemundo"
"1999","18.0m","11.4","United States v. China PR","Final","ABC"
"2011","13.5m","7.4","United States v. Japan","Final","ESPN"
"2015","8.4m","3.0","United States v. Germany","SF","FOX"
"2015","5.7m","2.0","United States v. China PR","QF","FOX"
"2015","5.0m","2.0","United States v. Nigeria","GS","FOX"
"1999","4.9m","2.9","United States v. Brazil","SF","ESPN"
"2015","4.7m","1.8","United States v. Colombia","R16","FS1"
"2015","4.2m","1.5","United States v. Sweden","GS","FOX"
"2011","3.9m","2.3","United States v. Brazil","QF","ESPN"
