"Year","Popular vote","% of popular vote","# of seats","Seat change","Government"
"1992","1,066,765","22.58%","73 / 250","73","gov′t support"
"1993","595,467","13.85%","39 / 250","34","opposition"
"1997","1,162,216","28.08%","82 / 250","43","government"
"2000","322,333","8.60%","23 / 250","59","opposition"
"2003","1,069,212","27.62%","82 / 250","59","opposition"
"2007","1,153,453","28.60%","81 / 250","1","opposition"
"2008","1,219,436","29.46%","78 / 250","3","opposition"
"2012","180,558","4.63%","0 / 250","78","non-parliamentary"
"2014","72,303","2.01%","0 / 250","","non-parliamentary"
"2016","306,052","8.10%","22 / 250","22","opposition"
