"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Thérèse Steinmetz",""Ring-dinge-ding"","Dutch","14","2"
"02","Luxembourg","Vicky Leandros",""L'amour est bleu"","French","4","17"
"03","Austria","Peter Horton",""Warum es hunderttausend Sterne gibt"","German","14","2"
"04","France","Noëlle Cordier",""Il doit faire beau là-bas"","French","3","20"
"05","Portugal","Eduardo Nascimento",""O vento mudou"","Portuguese","12","3"
"06","Switzerland","Géraldine",""Quel cœur vas-tu briser?"","French","17","0"
"07","Sweden","Östen Warnerbring",""Som en dröm"","Swedish","8","7"
"08","Finland","Fredi",""Varjoon – suojaan"","Finnish","12","3"
"09","Germany","Inge Brück",""Anouschka"","German","8","7"
"10","Belgium","Louis Neefs",""Ik heb zorgen"","Dutch","7","8"
"11","United Kingdom","Sandie Shaw",""Puppet on a String"","English","1","47"
"12","Spain","Raphael",""Hablemos del amor"","Spanish","6","9"
"13","Norway","Kirsti Sparboe",""Dukkemann"","Norwegian","14","2"
"14","Monaco","Minouche Barelli",""Boum-Badaboum"","French","5","10"
"15","Yugoslavia","Lado Leskovar",""Vse rože sveta"","Slovene","8","7"
"16","Italy","Claudio Villa",""Non andare più lontano"","Italian","11","4"
"17","Ireland","Sean Dunphy",""If I Could Choose"","English","2","22"
