"#","Event year","Season","Flag bearer","Sport"
"24","2018","Winter","Rudy Rinaldi","Bobsleigh"
"23","2016","Summer","Brice Etès","Athletics"
"22","2014","Winter","Olivier Jenot","Alpine Skiing"
"21","2012","Summer","Angelique Trinquier","Swimming"
"20","2010","Winter","Alexandra Coletti","Alpine Skiing"
"19","2008","Summer","Mathias Raymond","Rowing"
"18","2006","Winter","Patrice Servelle","Bobsleigh"
"17","2004","Summer","Sébastien Gattuso","Athletics"
"16","2002","Winter","Jean-François Calmes","Bobsleigh"
"15","2000","Summer","Thierry Vatrican","Judo"
"14","1998","Winter","Gilbert Bessi","Bobsleigh"
"13","1996","Summer","Thierry Vatrican","Judo"
"12","1994","Winter","Albert II, Prince of Monaco","Bobsleigh"
"11","1992","Summer","Christophe Verdino","Swimming"
"10","1992","Winter","Albert II, Prince of Monaco","Bobsleigh"
"9","1988","Summer","Stéphane Operto","Cycling"
"8","1988","Winter","Albert II, Prince of Monaco","Bobsleigh"
"7","1984","Summer","Jean-Luc Adorno","Swimming"
"6","1984","Winter","David Lajoux","Alpine Skiing"
"5","1976","Summer","Francis Boisson","Shooting"
"4","1972","Summer","Jean-Charles Seneca","Fencing"
"3","1964","Summer","Joseph Asso",""
"2","1924","Summer","Gaston Médécin","Athletics"
"1","1920","Summer","Edmond Médécin","Athletics"
