"Outcome","No.","Year","Championship","Opponent(s) in the final","Score"
"Winner","1.","2011","China Open","England Mark Selby","10–8"
"Runner-up","1.","2011","World Snooker Championship","Scotland John Higgins","15–18"
"Winner","2.","2011","UK Championship","Northern Ireland Mark Allen","10–8"
"Runner-up","2.","2012","Shanghai Masters","Scotland John Higgins","9–10"
"Winner","3.","2012","International Championship","Australia Neil Robertson","10–8"
"Runner-up","3.","2014","German Masters","China Ding Junhui","5–9"
"Winner","4.","2014","Australian Goldfields Open","Australia Neil Robertson","9–5"
"Runner-up","4.","2014","UK Championship","England Ronnie O'Sullivan","9–10"
"Runner-up","5.","2015","Shanghai Masters (2)","England Kyren Wilson","9–10"
"Winner","5.","2016","China Open (2)","England Ricky Walden","10–4"
"Winner","6.","2016","European Masters","England Ronnie O'Sullivan","9–8"
"Runner-up","6.","2016","English Open","China Liang Wenbo","6–9"
"Runner-up","7.","2017","Welsh Open","England Stuart Bingham","8–9"
"Runner-up","8.","2017","Gibraltar Open","England Shaun Murphy","2–4"
"Winner","7.","2017","Players Championship","Hong Kong Marco Fu","10–8"
"Winner","8.","2017","European Masters (2)","England Stuart Bingham","9–7"
"Runner-up","9.","2017","Shanghai Masters (3)","England Ronnie O'Sullivan","3–10"
"Winner","9.","2018","Northern Ireland Open","England Ronnie O'Sullivan","9–7"
"Winner","10.","2019","World Grand Prix","England Ali Carter","10–6"
