"Year","Champions (number of titles)","Runners-up","Third place","Leading goalscorer","Goals"
"1999","Júbilo Iwata (3)","Shimizu S-Pulse","Kashiwa Reysol","South Korea Hwang Sun-Hong (Cerezo Osaka)","24"
"2000","Kashima Antlers (3)","Yokohama F. Marinos","Kashiwa Reysol","Japan Masashi Nakayama (Júbilo Iwata)","20"
"2001","Kashima Antlers (4)","Júbilo Iwata","JEF United Ichihara","Brazil Will (Consadole Sapporo)","20"
"2002","Júbilo Iwata (4)","Yokohama F. Marinos","Gamba Osaka","Japan Naohiro Takahara (Júbilo Iwata)","26"
"2003","Yokohama F. Marinos (4)","Júbilo Iwata","JEF United Chiba","Brazil Ueslei (Nagoya Grampus Eight)","22"
"2004","Yokohama F. Marinos (5)","Urawa Red Diamonds","Gamba Osaka","Brazil Emerson (Urawa Red Diamonds)","27"
"2005","Gamba Osaka","Urawa Red Diamonds","Kashima Antlers","Brazil Araújo (Gamba Osaka)","33"
"2006","Urawa Red Diamonds (5)","Kawasaki Frontale","Gamba Osaka","Brazil Washington (Urawa Red Diamonds) Brazil Magno Alves (Gamba Osaka)","26"
"2007","Kashima Antlers (5)","Urawa Red Diamonds","Gamba Osaka","Brazil Juninho (Kawasaki Frontale)","22"
"2008","Kashima Antlers (6)","Kawasaki Frontale","Nagoya Grampus","Brazil Marquinhos (Kashima Antlers)","21"
"2009","Kashima Antlers (7)","Kawasaki Frontale","Gamba Osaka","Japan Ryoichi Maeda (Júbilo Iwata)","20"
"2010","Nagoya Grampus","Gamba Osaka","Cerezo Osaka","Australia Joshua Kennedy (Nagoya Grampus) Japan Ryoichi Maeda (Júbilo Iwata)","17"
"2011","Kashiwa Reysol (2)","Nagoya Grampus","Gamba Osaka","Australia Joshua Kennedy (Nagoya Grampus)","19"
"2012","Sanfrecce Hiroshima (6)","Vegalta Sendai","Urawa Red Diamonds","Japan Hisato Satō (Sanfrecce Hiroshima)","22"
"2013","Sanfrecce Hiroshima (7)","Yokohama F. Marinos","Kawasaki Frontale","Japan Yoshito Ōkubo (Kawasaki Frontale)","26"
"2014","Gamba Osaka (2)","Urawa Red Diamonds","Kashima Antlers","Japan Yoshito Ōkubo (Kawasaki Frontale)","18"
