"No. overall","No. in season","Title","Directed by","Written by","Original air date","US viewers (millions)"
"1","1","%INLINEQ%Dexter%INLINEQ%","Michael Cuesta","James Manos, Jr.","October 1, 2006","0.60"
"2","2","%INLINEQ%Crocodile%INLINEQ%","Michael Cuesta","Clyde Phillips","October 8, 2006","0.72"
"3","3","%INLINEQ%Popping Cherry%INLINEQ%","Michael Cuesta","Daniel Cerone","October 15, 2006","N/A"
"4","4","%INLINEQ%Let's Give the Boy a Hand%INLINEQ%","Robert Lieberman","Drew Z. Greenberg","October 22, 2006","N/A"
"5","5","%INLINEQ%Love American Style%INLINEQ%","Robert Lieberman","Melissa Rosenberg","October 29, 2006","N/A"
"6","6","%INLINEQ%Return to Sender%INLINEQ%","Tony Goldwyn","Tim Schlattmann","November 5, 2006","N/A"
"7","7","%INLINEQ%Circle of Friends%INLINEQ%","Steve Shill","Daniel Cerone","November 12, 2006","N/A"
"8","8","%INLINEQ%Shrink Wrap%INLINEQ%","Tony Goldwyn","Lauren Gussis","November 19, 2006","N/A"
"9","9","%INLINEQ%Father Knows Best%INLINEQ%","Adam Davidson","Melissa Rosenberg","November 26, 2006","N/A"
"10","10","%INLINEQ%Seeing Red%INLINEQ%","Michael Cuesta","Kevin R. Maynard","December 3, 2006","N/A"
"11","11","%INLINEQ%Truth Be Told%INLINEQ%","Keith Gordon","Drew Z. Greenberg and Tim Schlattmann","December 10, 2006","0.76"
"12","12","%INLINEQ%Born Free%INLINEQ%","Michael Cuesta","Daniel Cerone and Melissa Rosenberg","December 17, 2006","1.08"
