"Rank","Year","Name","Nat","Moving from","Moving to","Fee"
"1","2007","Nery Castillo","Mexico","Olympiacos","Shakhtar Donetsk","$30M"
"2","2010","Dmytro Chygrynskiy","Ukraine","Barcelona","Shakhtar Donetsk","$25.7M"
"3","2007","Willian","Brazil","Corinthians","Shakhtar Donetsk","$19.6M"
"4","2004","Matuzalém","Brazil","Brescia","Shakhtar Donetsk","$18.75M"
"5","2007","Ilsinho","Brazil","São Paulo","Shakhtar Donetsk","$14M"
"6","2008","Marcelo Moreno","Bolivia","Cruzeiro","Shakhtar Donetsk","$11.7M"
"7","2007","Cristiano Lucarelli","Italy","Livorno","Shakhtar Donetsk","$11.2M"
"8","2005","Fernandinho","Brazil","Atlético Paranaense","Shakhtar Donetsk","$10M"
"9","2005","Elano","Brazil","Santos","Shakhtar Donetsk","$10M"
"10","2007","Pape Diakhaté","Senegal","Nancy","Dynamo Kyiv","$9.8M"
"11","2007","Ismaël Bangoura","Guinea","Le Mans","Dynamo Kyiv","$8.4M"
