"Draw","Country","Artist","Song","Language","Place","Points"
"01","Croatia","Danijela","%INLINEQ%Neka mi ne svane%INLINEQ%","Croatian","5","131"
"02","Greece","Thalassa","%INLINEQ%Mia Krifi Evesthisia%INLINEQ% (Μια κρυφή ευαισθησία)","Greek","20","12"
"03","France","Marie Line","%INLINEQ%Où aller%INLINEQ%","French","24","3"
"04","Spain","Mikel Herzog","%INLINEQ%¿Qué voy a hacer sin ti?%INLINEQ%","Spanish","16","21"
"05","Switzerland","Gunvor","%INLINEQ%Lass ihn%INLINEQ%","German","25","0"
"06","Slovakia","Katarína Hasprová","%INLINEQ%Modlitba%INLINEQ%","Slovak","21","8"
"07","Poland","Sixteen","%INLINEQ%To takie proste%INLINEQ%","Polish","17","19"
"08","Israel","Dana International","%INLINEQ%Diva%INLINEQ% (דיווה)","Hebrew","1","172"
"09","Germany","Guildo Horn","%INLINEQ%Guildo hat euch lieb!%INLINEQ%","German","7","86"
"10","Malta","Chiara","%INLINEQ%The One That I Love%INLINEQ%","English","3","165"
"11","Hungary","Charlie","%INLINEQ%A holnap már nem lesz szomorú%INLINEQ%","Hungarian","23","4"
"12","Slovenia","Vili Resnik","%INLINEQ%Naj bogovi slišijo%INLINEQ%","Slovene","18","17"
"13","Ireland","Dawn Martin","%INLINEQ%Is Always Over Now?%INLINEQ%","English","9","64"
"14","Portugal","Alma Lusa","%INLINEQ%Se eu te pudesse abraçar%INLINEQ%","Portuguese","12","36"
"15","Romania","Mălina Olinescu","%INLINEQ%Eu cred%INLINEQ%","Romanian","22","6"
"16","United Kingdom","Imaani","%INLINEQ%Where Are You?%INLINEQ%","English","2","166"
"17","Cyprus","Michael Hajiyanni","%INLINEQ%Genesis%INLINEQ% (Γένεσις)","Greek","11","37"
"18","Netherlands","Edsilia","%INLINEQ%Hemel en aarde%INLINEQ%","Dutch","4","150"
"19","Sweden","Jill Johnson","%INLINEQ%Kärleken är%INLINEQ%","Swedish","10","53"
"20","Belgium","Mélanie Cohl","%INLINEQ%Dis oui%INLINEQ%","French","6","122"
"21","Finland","Edea","%INLINEQ%Aava%INLINEQ%","Finnish","15","22"
"22","Norway","Lars Fredriksen","%INLINEQ%Alltid sommer%INLINEQ%","Norwegian","8","79"
"23","Estonia","Koit Toome","%INLINEQ%Mere lapsed%INLINEQ%","Estonian","12","36"
"24","Turkey","Tüzmen","%INLINEQ%Unutamazsın%INLINEQ%","Turkish","14","25"
"25","Macedonia","Vlado Janevski","%INLINEQ%Ne zori, zoro%INLINEQ% (Не зори, зоро)","Macedonian","19","16"
