"Year","Position","Points","Best Finish","Notes"
"1996","15th","28","8th",""
"1997","10th","42","9th",""
"1998","11th","51","5th",""
"1999","7th","67","4th","Made 4 semi-finals but only reached final once"
"2000","6th","65","4th",""
"2001","5th","69","3rd","Third in the Danish Grand Prix"
"2002","4th","127","Winner","Won the Swedish Grand Prix"
"2003","4th","126","Winner","Won the Slovenian Grand Prix"
"2004","4th","131","Winner","Won the Swedish Grand Prix"
"2005","3rd","107","2nd","Second in the European Grand Prix"
"2006","5th","106","3rd","Highest placed rider not to win a GP (3rd in Scandinavia)"
"2007","2nd","153","Winner","Won Swedish, Scandinavian and Latvian Grand Prix"
"2008","6th","125","Winner","Won European and Scandinavian Grand Prix"
