"Year","Games","Host Island","Participating Islands","Athletes","Sports"
"1985","I","Isle of Man","15","700","7"
"1987","II","Guernsey","18","1,049","9"
"1989","III","Faroe Islands","15","800","11"
"1991","IV","Åland","17","1,500","13"
"1993","V","Isle of Wight","19","1,448","14"
"1995","VI","Gibraltar","18","1,214","13"
"1997","VII","Jersey","20","~2,000","13"
"1999","VIII","Gotland","22","1,858","14"
"2001","IX","Isle of Man","22","2,020","15"
"2003","X","Guernsey","23","2,129","15"
"2005","XI","Shetland","24","1,658","14"
"2007","XII","Rhodes","25","2,343","14"
"2009","XIII","Åland","24","2,286","14"
"2011","XIV","Isle of Wight","24","2,311","14"
"2013","XV","Bermuda","22","1,296","14"
"2015","XVI","Jersey","24","2,430","14"
"2017","XVII","Gotland","23","2,333","14"
"2019","XVIII","Gibraltar","24","~2,000","14"
"2021","XIX","Guernsey","24","~3,000","14"
"2023","XX","Orkney","","","13"
