"Rank","Heat/Lane","Swimmer","Country","Time","Note"
"1","S1-L4","Roland Schoeman","South Africa","23.18","Q"
"2","H2-L4","Ian Crocker","USA","23.42","Q"
"3","H2-L5","Sergiy Breus","Ukraine","23.53","Q"
"4","S1-L3","Albert Subirats Altes","Venezuela","23.59","Q"
"5","S1-L5","Lars Frölander","Sweden","23.82","Q"
"6","H2-L8","Peter Mankoč","Slovenia","23.91","Q"
"7","H2-L3","Milorad Čavić","Serbia","23.94","Q"
"8","S1-L6","Jakob Andkjær","Denmark","23.99","Q (swim-off)"
"8","S1-L1","Lyndon Ferns","South Africa","23.99","(swim-off)"
"10","H2-L1","Ryo Takayasu","Japan","24.03",""
"11","S1-L2","Matti Rajakylä","Finland","24.10",""
"11","S1-L7","Ryan Pini","Papua New Guinea","24.10",""
"13","H2-L6","Andriy Serdinov","Ukraine","24.12",""
"14","S1-L8","Jernej Godec","Slovenia","24.26",""
"15","H2-L7","Örn Arnarson","Iceland","24.34",""
"16","H2-L2","Matt Welsh","Australia","24.41",""
