"Film title","Actor","Character","Dub Language","Original Language","Original Year Release","Dub Year Release","Notes"
"Makkhi","Nani","Nani (Jani in Hindi version)","Hindi","Telugu","2012","2012","Anuj was also the Dubbing Director, Script Writer, Lyricist and Playback Singer in the Hindi version."
"The Admiral: Roaring Currents","Unknown actor","Unknown character","Hindi English","Korean Japanese","2014","2014",""
"Roar: Tigers of the Sunderbans","Aadil Chahal","Kashmiri","English","Hindi","2014","2014",""
"Jason Bourne","Ato Essandoh","Craig Jeffers","Hindi","English","2016","2016",""
"Morgan","Boyd Holbrook","Skip Vronsky","Hindi","English","2016","2016",""
"Ghostbusters","Chris Hemsworth","Kevin Beckman","Hindi","English","2016","2016",""
"Passengers","Michael Sheen","Arthur","Hindi","English","2016","2016",""
"Star Wars: The Last Jedi","John Boyega","Finn","Hindi","English","2017","2017","Damandeep Singh Baggan dubbed this character in previous film."
"Captain America: The Winter Soldier","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2014","2014","Performed alongside Joy Sengupta who voiced Chris Evans as Steve Rogers / Captain America and Manish Wadhwa who voiced Sebastian Stan as Bucky Barnes / Winter Soldier in Hindi."
"Avengers: Age of Ultron","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2015","2015","Performed alongside Joy Sengupta who voiced Chris Evans as Steve Rogers / Captain America in Hindi."
"Ant-Man","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2015","2015","Performed alongside Sahil Vaid who voiced Paul Rudd as Scott Lang / Ant-Man in Hindi."
"Captain America: Civil War","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2016","2016","Performed alongside Manish Wadhwa who voiced Sebastian Stan as Bucky Barnes / Winter Soldier and Sumit Kaul who voiced Chadwick Boseman as T'Challa / Black Panther in Hindi."
"Avengers: Infinity War","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2018","2018","Performed alongside Joy Sengupta who voiced Chris Evans as Steve Rogers / Captain America and Manish Wadhwa who voiced Sebastian Stan as Bucky Barnes / Winter Soldier in Hindi."
"Avengers: Endgame","Anthony Mackie","Sam Wilson / Falcon","Hindi","English","2019","2019","Performed alongside Joy Sengupta who voiced Chris Evans as Steve Rogers / Captain America and Manish Wadhwa who voiced Sebastian Stan as Bucky Barnes / Winter Soldier in Hindi."
