"No. overall","No. in season","Title","Directed by","Written by","Original air date","Prod. code","U.S. viewers (millions)"
"1","1","%INLINEQ%Cartman Gets an Anal Probe%INLINEQ%","Trey Parker","Trey Parker and Matt Stone","August 13, 1997","101","0.98"
"2","2","%INLINEQ%Weight Gain 4000%INLINEQ%","Trey Parker and Matt Stone","Trey Parker and Matt Stone","August 20, 1997","102","N/A"
"3","3","%INLINEQ%Volcano%INLINEQ%","Trey Parker and Matt Stone","Trey Parker and Matt Stone","August 27, 1997","103","1.0"
"4","4","%INLINEQ%Big Gay Al's Big Gay Boat Ride%INLINEQ%","Trey Parker","Trey Parker and Matt Stone","September 3, 1997","104","N/A"
"5","5","%INLINEQ%An Elephant Makes Love to a Pig%INLINEQ%","(uncredited)","Trey Parker, Matt Stone and Dan Sterling","September 10, 1997","105","N/A"
"6","6","%INLINEQ%Death%INLINEQ%","Matt Stone","Trey Parker and Matt Stone","September 17, 1997","106","1.3"
"7","7","%INLINEQ%Pinkeye%INLINEQ%","Trey Parker and Matt Stone","Trey Parker, Matt Stone and Philip Stark","October 29, 1997","107","2.7"
"8","8","%INLINEQ%Starvin' Marvin%INLINEQ%","Trey Parker","Trey Parker","November 19, 1997","109","2.2"
"9","9","%INLINEQ%Mr. Hankey, the Christmas Poo%INLINEQ%","Trey Parker and Matt Stone","Trey Parker","December 17, 1997","110","4.5"
"10","10","%INLINEQ%Damien%INLINEQ%","Trey Parker","Trey Parker and Matt Stone","February 4, 1998","108","5.1"
"11","11","%INLINEQ%Tom's Rhinoplasty%INLINEQ%","(uncredited)","Trey Parker","February 11, 1998","111","4.1"
"12","12","%INLINEQ%Mecha-Streisand%INLINEQ%","Trey Parker","Trey Parker, Philip Stark and Matt Stone","February 18, 1998","112","5.4"
"13","13","%INLINEQ%Cartman's Mom Is a Dirty Slut%INLINEQ%","Trey Parker","Trey Parker and David R. Goodman","February 25, 1998","113","6.4"
