"City","Country","Airport","Begin","End","Ref"
"Bergen","Norway","Bergen Airport, Flesland","1983","1996",""
"Copenhagen","Denmark","Copenhagen Airport","1985","1996",""
"Gothenburg","Sweden","Göteborg Landvetter Airport","1987","1987",""
"Fagernes","Norway","Fagernes Airport, Leirin","1987","1988",""
"Kristiansand","Norway","Kristiansand Airport, Kjevik","1991","1992",""
"London","United Kingdom","London Stansted Airport","1987","1992",""
"Sandefjord","Norway","Sandefjord Airport, Torp","1983","1996",""
"Skien","Norway","Skien Airport, Geiteryggen","1987","1991",""
"Stavanger","Norway","Stavanger Airport, Sola","1983","1996",""
"Trondheim","Norway","Trondheim Airport, Værnes","1986","1996",""
