"Island","Capital","Other Cities","Area (km²)","Population"
"Pana Varavara","","","0.57","0"
"Panasia","","","2.11","0"
"Sloss Islands","","","0.36","0"
"Utian","Utian","","1.54","514"
"Pana Rora","","","0.81","0"
"Pana Udu Udi","","","0.69","0"
"Gulewa","Gulewa","","0.59","18"
"Ululina","Ululina","","0.59","5"
"Venariwa","Venariwa","","0.76","16"
"Motorina","Riman Bay","Tawara, Mabaraboraboa","7.8","595"
"Bonna Wan","","","1.09","0"
"Bagaman","Bagaman","","7.45","264"
"Bobo Eina","","","2.43","0"
"Pana Numara","Hoba Bay","","1.93","183"
"Yaruman","","","0.37","0"
"Panangaribu","","","0.5","0"
"Panatinane","","","0.79","0"
"Pana Krusima","","","1.47","0"
"Kuwanak","Kuwanak","","3.66","170"
"Gigila","Nogui","","1.42","121"
"Pana Wina","Bomalou","Panambari, Boiama","30.55","456"
"Hemenahei","","","10.15","0"
"Nigao","Nigao","","0.1","226"
"Sabari","Hekampan","Tandeyai, Hebenahine, Maho","4.04","708"
"Calvados Chain","Pana Wina","Motorina, Bagaman","85.1","3276"
