"Rank","Heat","Name","Nationality","Time","Notes"
"1","3","Jakub Holuša","Czech Republic","1:47.23","Q, SB"
"2","3","Adam Kszczot","Poland","1:47.90","Q"
"3","1","Mohammed Aman","Ethiopia","1:48.07","Q"
"4","3","Luis Alberto Marco","Spain","1:48.12",""
"5","1","Andrew Osagie","Great Britain","1:48.13","Q"
"6","3","Andreas Rapatz","Austria","1:48.15",""
"7","1","Timothy Kitum","Kenya","1:48.22",""
"8","1","Antonio Manuel Reina","Spain","1:48.36",""
"9","2","Michael Rutt","United States","1:48.88","Q"
"10","2","Jan Van Den Broeck","Belgium","1:48.90","Q"
"11","3","Joe Thomas","Great Britain","1:49.12",""
"12","2","Boaz Kiplagat Lalang","Kenya","1:49.31",""
"13","1","Julius Mutekanga","Uganda","1:49.32",""
"14","2","Raphael Pallitsch","Austria","1:49.42",""
"15","1","Musaeb Abdulrahman Balla","Qatar","1:49.51",""
"16","3","Tevan Everett","United States","1:49.57",""
"99","2","Rafith Rodríguez","Colombia","DNF",""
"99","2","Marcin Lewandowski","Poland","DNF",""
