"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Conny van den Bos","%INLINEQ%'t Is genoeg%INLINEQ%","Dutch","11","5"
"02","United Kingdom","Kathy Kirby","%INLINEQ%I Belong%INLINEQ%","English","2","26"
"03","Spain","Conchita Bautista","%INLINEQ%¡Qué bueno, qué bueno!%INLINEQ%","Spanish","15","0"
"04","Ireland","Butch Moore","%INLINEQ%Walking the Streets in the Rain%INLINEQ%","English","6","11"
"05","Germany","Ulla Wiesner","%INLINEQ%Paradies, wo bist du?%INLINEQ%","German","15","0"
"06","Austria","Udo Jürgens","%INLINEQ%Sag ihr, ich lass sie grüßen%INLINEQ%","German","4","16"
"07","Norway","Kirsti Sparboe","%INLINEQ%Karusell%INLINEQ%","Norwegian","13","1"
"08","Belgium","Lize Marke","%INLINEQ%Als het weer lente is%INLINEQ%","Dutch","15","0"
"09","Monaco","Marjorie Noël","%INLINEQ%Va dire à l'amour%INLINEQ%","French","9","7"
"10","Sweden","Ingvar Wixell","%INLINEQ%Absent Friend%INLINEQ%","English","10","6"
"11","France","Guy Mardel","%INLINEQ%N'avoue jamais%INLINEQ%","French","3","22"
"12","Portugal","Simone de Oliveira","%INLINEQ%Sol de inverno%INLINEQ%","Portuguese","13","1"
"13","Italy","Bobby Solo","%INLINEQ%Se piangi, se ridi%INLINEQ%","Italian","5","15"
"14","Denmark","Birgit Brüel","%INLINEQ%For din skyld%INLINEQ%","Danish","7","10"
"15","Luxembourg","France Gall","%INLINEQ%Poupée de cire, poupée de son%INLINEQ%","French","1","32"
"16","Finland","Viktor Klimenko","%INLINEQ%Aurinko laskee länteen%INLINEQ%","Finnish","15","0"
"17","Yugoslavia","Vice Vukov","%INLINEQ%Čežnja%INLINEQ%","Croatian","12","2"
"18","Switzerland","Yovanna","%INLINEQ%Non, à jamais sans toi%INLINEQ%","French","8","8"
