"#","Mayor","Term start","Term end","Terms","","Party"
"1","William G. George","1865","1868","¾","","Republican"
"2","Louis Humphreys","1868","1872","1","","Republican"
"3","William Miller","1872","1876","1","","Republican"
"4","A. N. Thomas","1876","1878","½","","Republican"
"5","Lucius G. Tong","1878","1880","½","","Republican"
"6","Levi J. Ham","1880","1884","1","","Democratic"
"7","George W. Loughman","1884","1888","1","","Republican"
"8","William H. Longley","1888","1892","1","","Democratic"
"9","David R. Leeper","1892","1894","½","","Democratic"
"10","D. B. J. Schafer","1894","1898","1","","Republican"
"11","Schuyler Colfax III","1898","1902","1","","Republican"
"12","Edward J. Fogarty","1902","1910","2","","Democratic"
"13","Charles L. Goetz","1910","1914","1","","Democratic"
"14","Fred W. Keller","1914","1918","1","","Independent"
"15","Franklin R. Carson","1918","1922","1","","Republican"
"16","Eli F. Seebirt","1922","1926","1","","Republican"
"17","Chester R. Montgomery","1926","1930","1","","Democratic"
"18","William Riley Hinkle","1930","1935","1¼","","Democratic"
"19","George W. Freyermuth","1935","1938","¾","","Republican"
"20","Jesse I. Pavey","1938","1945","1¾","","Democratic"
"21","F. Kenneth Dempsey","1945","1947","½","","Democratic"
"22","George A. Schock","1947","1952","1¼","","Democratic"
"23","John Alden Scott","1952","1956","1","","Republican"
"24","Edward F. Voorde","1956","1960","1","","Democratic"
"25","Frank J. Bruggner","1960","1964","1","","Democratic"
"26","Lloyd M. Allen","1964","1972","2","","Republican"
"27","Jerry Miller","1972","1976","1","","Democratic"
"28","Peter Nemeth","1976","1980","1","","Democratic"
"29","Roger Parent","1980","1988","2","","Democratic"
"30","Joseph E. Kernan","1988","1996","2","","Democratic"
"31","Steve Luecke","1996","2012","5","","Democratic"
"32","Pete Buttigieg","2012","","2","","Democratic"
