"Tenure(s)","Coach","Seasons","W-L-T","Pct"
"1969–1971","Bill Stein","3","23-33",".411"
"1972–1973, 1975","Steve Thornton","3","26-28",".481"
"1977–1978","Bob Reall","2","11-41",".212"
"1979–1983","Michael McGuinn","5","48-88",".353"
"1984–1986","Earl Matthewson","3","58-32-1",".644"
"1987–1990","Dale O'Dell","4","39-36-1",".520"
"1991–2005","Jon Sjogren","15","360-305-2",".541"
"2006–2010","Jamie Pinzino","5","162-122",".570"
"2011–present","Steve Owens","4","150-78",".658"
"TOTALS","9","44","877-763-3",".534"
