"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Woody Hayes","#2","#2","9–1","7–0","26.7","9.2","Bill Jobko"
"2","Michigan State","Duffy Daugherty","#3","#1","8–1","5–1","29.3","8.3","Dan Currie"
"3","Iowa","Forest Evashevski","#6","#3","7–1–1","4–1–1","29.2","12.4","Bob Commings"
"4 (tie)","Wisconsin","Milt Bruhn","#19","#13","6–3","4–3","26.0","13.6","Dan Lewis"
"4 (tie)","Purdue","Jack Mollenkopf","NR","NR","5–4","4–3","19.8","12.7","Neil Habig"
"6","Michigan","Bennie Oosterbaan","NR","#6","5–3–1","3–3–1","20.8","16.3","Jim Pace"
"7","Illinois","Ray Eliot","NR","#15","4–5","3–4","18.6","14.8","Ron Hansen"
"8","Minnesota","Murray Warmath","NR","#3","4–5","3–5","22.3","20.9","Dick Larson"
"9","Indiana","Bob Hicks","NR","NR","1–8","0–6","5.2","34.1","Tony Aloisio"
"10","Northwestern","Ara Parseghian","NR","NR","0–9","0–7","6.3","30.1","Willmer Fowler"
