"No","Year","Title","Language","Notes"
"1","2010","Nayakan","Malayalam","Songs and Background Score"
"2","2011","City of God","Malayalam","Songs and Background Score"
"3","2011","Shaitan","Hindi","7 of 14 songs featured the film"
"4","2011","Bombay March 12","Malayalam","Background Score only."
"5","2012","Nidra","Malayalam","Background Score only."
"6","2012","Nee Ko Njaa Cha","Malayalam","Songs only."
"7","2013","David / David","Hindi / Tamil","3 Songs"
"8","2013","Amen","Malayalam","Songs and Background Score"
"9","2013","5 Sundarikal","Malayalam","Song and Background Score for Esha"
"10","2013","Sixteen","Hindi","3 Songs and Background Score"
"11","2013","Issaq","Hindi","Background Score only."
"12","2013","Zachariayude Garbhinikal","Malayalam","Background Score only."
"13","2013","Ezhu Sundara Rathrikal","Malayalam","Songs and Background Score"
"14","2014","Mosayile Kuthira Meenukal","Malayalam","Songs and Background Score"
"15","2014","Money Ratnam","Malayalam","Songs and Background Score"
"16","2014","Mamachya Gavala Jaaoo Yaa","Marathi","Songs and Background Score"
"17","2015","Chandrettan Evideya","Malayalam","Songs and Background Score"
"18","2015","Double Barrel","Malayalam","Songs and Background Score"
"19","2015","Rockstar","Malayalam","Songs and Background Score"
"20","2016","Wazir","Hindi","1 song only."
"21","2016","Anuraga Karikkin Vellam","Malayalam","Songs and Background Score"
"22","2017","Angamaly Diaries","Malayalam","Songs and Background Score"
"23","2017","Sakhavu","Malayalam","Songs and Background Score"
"24","2017","Keshava","Telugu","Background Score only"
"25","2017","Varnyathil Ashanka","Malayalam","Songs and Background Score"
"26","2017","Solo","Malayalam / Tamil","1 Song + Background Score ( for Blind )"
"27","2018","Mukkabaaz","Hindi","Background Score only"
"28","2018","Ee.Ma.Yau","Malayalam","Songs and Background Score"
"29","2018","Andhra Mess","Tamil","Songs and Background Score"
"30","2018","Padayottam (2018 film)","Malayalam","Songs and Background Score"
"31","2018","French Viplavam","Malayalam","Songs and Background Score"
"32","2019","Jellikettu","Malayalam","Songs and Background Score"
"33","2019","Unda","Malayalam","Songs and Background Score"
"34","2019","Mariyam Vannu Vilakkoothi","Malayalam","Songs and Background Score"
"35","2019","Sayanna Varthakal","Malayalam","Songs and Background Score"
