"Player","Ctry","Pos","GP","Pts","%"
"Henrik Sedin","Sweden","C","1,330","1,070","0.80"
"Daniel Sedin","Sweden","LW","1,306","1,041","0.80"
"Markus Naslund","Sweden","LW","884","756","0.86"
"Trevor Linden","Canada","RW/C","1,138","733","0.64"
"Stan Smyl","Canada","RW","896","673","0.75"
"Thomas Gradin","Sweden","C","613","550","0.90"
"Pavel Bure","Russia","RW","428","478","1.12"
"Tony Tanti","Canada","RW","531","470","0.89"
"Todd Bertuzzi","Canada","RW","518","449","0.87"
"Don Lever","Canada","LW","593","407","0.69"
