"#","Event year","Season","Flag bearer","Sport"
"13","2016","Summer","Tetyukhin, SergeySergey Tetyukhin","Volleyball"
"12","2014","Winter","Zubkov, AlexandrAlexandr Zubkov","Bobsleigh"
"11","2012","Summer","Sharapova, MariaMaria Sharapova","Tennis"
"10","2010","Winter","Morozov, AlekseyAleksey Morozov","Ice hockey"
"9","2008","Summer","Kirilenko, AndreiAndrei Kirilenko","Basketball"
"8","2006","Winter","Dorofeyev, DmitryDmitry Dorofeyev","Speed skating"
"7","2004","Summer","Popov, AleksandrAleksandr Popov","Swimming"
"6","2002","Winter","Prokurorov, AlekseyAleksey Prokurorov","Cross-country skiing"
"5","2000","Summer","Lavrov, AndreyAndrey Lavrov","Handball"
"4","1998","Winter","Prokurorov, AlekseyAleksey Prokurorov","Cross-country skiing"
"3","1996","Summer","Karelin, AleksandrAleksandr Karelin","Greco-Roman wrestling"
"2","1994","Winter","Tchepikov, SergeiSergei Tchepikov","Biathlon"
"1","1912","Summer","Rayevsky, M. E.M. E. Rayevsky","Gymnastics"
