"Reference","Name","Released","Minifigures","Notes"
"6010","Supply Wagon","1984","Hunter",""
"6011","Black Knight's Treasure","1985","Soldier",""
"6018","Battle Dragon","1990","2 Soldiers",""
"6021","Jousting Knights","1984","2 Knights",""
"6030","Catapult","1984","2 Soldiers",""
"6035","Castle Guard","1987","Guard, Knight",""
"6040","Blacksmith Shop","1984","Guard, Blacksmith",""
"6062","Battering Ram","1987","6 Soldiers",""
"6073","Knight's Castle","1984","2 Guards, 2 Soldiers, 2 Knights",""
"6074","Black Falcon's Fortress","1986","2 Soldiers, 2 Guards, 2 Knights","Re-released in 2002"
"6102","Castle Mini Figures","1985","4 Soldiers, 2 Guards",""
