"Pos","No.","Name","Lap 1 (mph)","Lap 2 (mph)","Lap 3 (mph)","Lap 4 (mph)","Average Speed (mph)"
"1","4","United States Billy Arnold","113.208","113.364","113.279","113.222","113.268"
"2","1","United States Louis Meyer (W)","111.552","111.843","111.552","110.227","111.290"
"3","16","United States Shorty Cantlon (R)","110.281","110.146","110.200","108.630","109.810"
"4","23","United States Louis Schneider","104.883","106.282","106.534","106.749","106.107"
"5","18","United States Chet Gardner (R)","106.597","105.485","105.746","105.423","105.811"
"6","17","United States Ernie Triplett","105.646","105.646","105.907","105.275","105.618"
"7","22","United States Russ Snowberger","104.191","104.275","104.749","105.018","104.577"
"8","15","United States Phil Shafer","101.237","102.576","102.904","102.412","102.279"
"9","25","United States Leslie Allen (R)","101.569","102.064","101.925","102.122","101.919"
"10","36","United States Cy Marshall (R)","100.334","100.976","100.874","101.203","100.846"
"11","33","United States Frank Farmer","100.111","100.402","100.581","101.374","100.615"
"12","14","United States Lou Moore","100.301","99.911","98.879","99.867","99.867"
"13","35","United States J. C. McDonald (R)","98.912","98.803","99.032","99.064","98.953"
"14","29","United States Joe Caccia (R)","96.567","97.603","97.954","98.318","97.606"
"15","41","United States Chet Miller (R)","96.639","97.014","97.762","98.039","97.360"
"16","38","United States Claude Burton (R)","93.760","96.277","94.957","95.390","95.087"
"17","2","United States L. L. Corum (W)","94.468","94.379","93.730","93.946","94.130"
"18","39","United States Johnny Seymour","92.898","93.303","93.565","93.740","93.376"
"19","32","United States Charles Moran (R)","88.757","89.982","89.144","91.084","89.733"
"","4","United States Harry Hartz","110.429","","","","Incomplete"
