"#","Event year","Season","Flag bearer","Sport"
"25","2018","Winter","Radoslav Yankov","Snowboarding"
"24","2016","Summer","Ivet Lalova","Athletics"
"23","2014","Winter","Maria Kirkova","Alpine skiing"
"22","2012","Summer","Yordan Yovchev","Gymnastics"
"21","2010","Winter","Aleksandra Zhekova","Snowboarding"
"20","2008","Summer","Petar Stoychev","Swimming"
"19","2006","Winter","Ekaterina Dafovska","Biathlon"
"18","2004","Summer","Mariya Grozdeva","Shooting"
"17","2002","Winter","Stefan Georgiev","Alpine skiing"
"16","2000","Summer","Ivo Yanakiev","Rowing"
"15","1998","Winter","Lyubomir Popov","Alpine skiing"
"14","1996","Summer","Dimo Tonev","Volleyball"
"13","1994","Winter","Nadezhda Aleksieva","Biathlon"
"12","1992","Summer","Ivaylo Yordanov","Football"
"11","1992","Winter","Iva Karagiozova-Shkodreva","Biathlon"
"10","1988","Summer","Vasil Etropolski","Fencing"
"9","1988","Winter","Vladimir Velichkov","Biathlon"
"8","1984","Winter","Vladimir Velichkov","Biathlon"
"7","1980","Summer","Aleksandar Tomov","Wrestling"
"6","1980","Winter","Petar Popangelov","Downhill skiing"
"5","1976","Summer","Aleksandar Tomov","Wrestling"
"4","1972","Summer","Dimitar Zlatanov","Volleyball"
"3","1964","Summer","Enyu Valchev","Wrestling"
"2","1952","Summer","Boris Nikolov","Boxing"
"1","1936","Summer","Lyuben Doychev","Athletics"
