"Draw","Country","Artist","Song","Language","Place","Points"
"01","Lithuania","Monika Linkytė & Vaidas Baumila","%INLINEQ%This Time%INLINEQ%","English","7","67"
"02","Ireland","Molly Sterling","%INLINEQ%Playing with Numbers%INLINEQ%","English","12","35"
"03","San Marino","Anita Simoncini & Michele Perniola","%INLINEQ%Chain of Lights%INLINEQ%","English","16","11"
"04","Montenegro","Knez","%INLINEQ%Adio%INLINEQ%","Montenegrin","9","57"
"05","Malta","Amber","%INLINEQ%Warrior%INLINEQ%","English","11","43"
"06","Norway","Mørland & Debrah Scarlett","%INLINEQ%A Monster Like Me%INLINEQ%","English","4","123"
"07","Portugal","Leonor Andrade","%INLINEQ%Há um mar que nos separa%INLINEQ%","Portuguese","14","19"
"08","Czech Republic","Marta Jandová & Václav Noid Bárta","%INLINEQ%Hope Never Dies%INLINEQ%","English","13","33"
"09","Israel","Nadav Guedj","%INLINEQ%Golden Boy%INLINEQ%","English","3","151"
"10","Latvia","Aminata","%INLINEQ%Love Injected%INLINEQ%","English","2","155"
"11","Azerbaijan","Elnur Huseynov","%INLINEQ%Hour of the Wolf%INLINEQ%","English","10","53"
"12","Iceland","Maria Olafs","%INLINEQ%Unbroken%INLINEQ%","English","15","14"
"13","Sweden","Måns Zelmerlöw","%INLINEQ%Heroes%INLINEQ%","English","1","217"
"14","Switzerland","Mélanie René","%INLINEQ%Time to Shine%INLINEQ%","English","17","4"
"15","Cyprus","John Karayiannis","%INLINEQ%One Thing I Should Have Done%INLINEQ%","English","6","87"
"16","Slovenia","Maraaya","%INLINEQ%Here for You%INLINEQ%","English","5","92"
"17","Poland","Monika Kuszyńska","%INLINEQ%In the Name of Love%INLINEQ%","English","8","57"
