"Rank","City","Population (2011)","Population (2001)","State or union territory","Ref"
"1","Mumbai","12,442,373","11,978,450","Maharashtra",""
"2","Delhi","11,034,555","9,879,172","Delhi",""
"3","Bangalore","8,443,675","4,301,326","Karnataka",""
"4","Hyderabad","6,731,790","3,637,483","Telangana",""
"5","Ahmedabad","5,577,940","3,520,085","Gujarat",""
"6","Chennai","4,646,732","4,343,645","Tamil Nadu",""
"7","Kolkata","4,496,694","4,572,876","West Bengal",""
"8","Surat","4,467,797","2,433,835","Gujarat",""
"9","Pune","3,124,458","2,538,473","Maharashtra",""
"10","Jaipur","3,046,163","2,322,575","Rajasthan",""
"11","Lucknow","2,817,105","2,185,927","Uttar Pradesh",""
"12","Kanpur","2,765,348","2,551,337","Uttar Pradesh",""
"13","Nagpur","2,405,665","2,052,066","Maharashtra",""
"14","Indore","1,964,086","1,474,968","Madhya Pradesh",""
"15","Thane","1,841,488","1,262,551","Maharashtra",""
"16","Bhopal","1,798,218","1,437,354","Madhya Pradesh",""
"17","Visakhapatnam","1,728,128","982,904","Andhra Pradesh",""
"18","Pimpri-Chinchwad","1,727,692","1,012,472","Maharashtra",""
"19","Patna","1,684,222","1,366,444","Bihar",""
"20","Vadodara","1,670,806","1,306,227","Gujarat",""
"21","Ghaziabad","1,648,643","968,256","Uttar Pradesh",""
"22","Ludhiana","1,618,879","1,398,467","Punjab",""
"23","Agra","1,585,704","1,275,134","Uttar Pradesh",""
"24","Nashik","1,486,053","1,077,236","Maharashtra",""
"25","Faridabad","1,414,050","1,055,938","Haryana",""
