"Contestant","Age","Ht","Start Wt","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5","Stage 6","lbs lost"
"Chantal","35","5'2"","250","246","236","228","221","213","199","51"
"Jami Lyn","30","5'9"","236","231","218","209","202","198","186","50"
"Loralie","30","5'3"","233","228","222","213","206","197","185","56"
"Michael","41","6'2"","330","315","286","273","258","252","239","80"
"Sam","22","5'9"","371","355","351","336","323","314","297","85"
"Shea","27","5'7"","289","280","272","265","255","244","234","55"
"Anthony","26","6'3"","410","400","396","378","367","355","","80"
"Matt","36","6'4"","389","383","355","354","336","","","53"
"Will","26","6'2"","470","451","441","424","413","","","59"
"Wendy","40","5'6"","234","219","215","","","","","19"
"Shane","34","6'0"","519","","","","","","","--"
"Kimberly","39","5'5"","274","","","","","","","--"
