"Round","Home","Scoreline","Away","Date","Venue","Crowd"
"1","-","8–18","-","13 March","Adelaide Oval","11,289"
"2","-","22–6","-","22 March","Brookvale Oval","6,434"
"3","-","22–20","-","27 March","Adelaide Oval","8,390"
"4","-","54–12","-","5 April","Penrith Football Stadium","6,637"
"5","-","8–16","-","9 April","Adelaide Oval","7,058"
"6","-","50–12","-","17 April","Sydney Football Stadium","6,200"
"7","-","12–22","-","25 April","Adelaide Oval","8,472"
"8","-","30–4","-","3 May","Belmore Sports Ground","5,041"
"9","-","18–24","-","8 May","Adelaide Oval","6,500"
"10","-","18–2","-","16 May","Pioneer Oval","7,514"
"11","-","35–18","-","23 May","Adelaide Oval","5,000"
"12","-","36–24","-","31 May","Campbelltown Stadium","6,392"
"13","-","22–20","-","6 June","Adelaide Oval","8,506"
"14","-","24–4","-","13 June","Olympic Park","8,293"
"15","-","4–39","-","20 June","Bennett Oval","5,153"
"16","-","12–40","-","27 June","Carrara Stadium","3,897"
"17","-","52–0","-","3 July","Hindmarsh Stadium","7,351"
"18","-","18–34","-","12 July","Sydney Football Stadium","4,060"
"19","-","14–10","-","18 July","Dairy Farmers Stadium","11,340"
"20","-","22–20","-","26 July","Hindmarsh Stadium","7,445"
"21","-","46–12","-","1 August","ANZ Stadium","13,858"
"22","-","10–32","-","7 August","Hindmarsh Stadium","7,459"
"23","-","0–36","-","15 August","Hindmarsh Stadium","7,035"
"24","-","34–20","-","22 August","Marathon Stadium","17,281"
