"Draw","Country","Artist","Song","Language","Place","Points"
"01","Cyprus","One","%INLINEQ%Gimme%INLINEQ%","English","6","85"
"02","United Kingdom","Jessica Garlick","%INLINEQ%Come Back%INLINEQ%","English","3","111"
"03","Austria","Manuel Ortega","%INLINEQ%Say a Word%INLINEQ%","English","18","26"
"04","Greece","Michalis Rakintzis","%INLINEQ%S.A.G.A.P.O.%INLINEQ%","English","17","27"
"05","Spain","Rosa","%INLINEQ%Europe's Living a Celebration%INLINEQ%","Spanish, English","7","81"
"06","Croatia","Vesna Pisarović","%INLINEQ%Everything I Want%INLINEQ%","English","11","44"
"07","Russia","Prime Minister","%INLINEQ%Northern Girl%INLINEQ%","English","10","55"
"08","Estonia","Sahlene","%INLINEQ%Runaway%INLINEQ%","English","3","111"
"09","North Macedonia","Karolina","%INLINEQ%Od nas zavisi%INLINEQ% (Од нас зависи)","Macedonian","19","25"
"10","Israel","Sarit Hadad","%INLINEQ%Light a Candle%INLINEQ%","Hebrew, English","12","37"
"11","Switzerland","Francine Jordi","%INLINEQ%Dans le jardin de mon âme%INLINEQ%","French","22","15"
"12","Sweden","Afro-dite","%INLINEQ%Never Let It Go%INLINEQ%","English","8","72"
"13","Finland","Laura","%INLINEQ%Addicted To You%INLINEQ%","English","20","24"
"14","Denmark","Malene Mortensen","%INLINEQ%Tell Me Who You Are%INLINEQ%","English","24","7"
"15","Bosnia and Herzegovina","Maja","%INLINEQ%Na jastuku za dvoje%INLINEQ% (На јастуку за двоје)","Serbian, English","13","33"
"16","Belgium","Sergio & The Ladies","%INLINEQ%Sister%INLINEQ%","English","13","33"
"17","France","Sandrine François","%INLINEQ%Il faut du temps%INLINEQ%","French","5","104"
"18","Germany","Corinna May","%INLINEQ%I Can't Live Without Music%INLINEQ%","English","21","17"
"19","Turkey","Buket Bengisu & Group Safir","%INLINEQ%Leylaklar Soldu Kalbinde%INLINEQ%","Turkish, English","16","29"
"20","Malta","Ira Losco","%INLINEQ%7th Wonder%INLINEQ%","English","2","164"
"21","Romania","Monica Anghel & Marcel Pavel","%INLINEQ%Tell Me Why%INLINEQ%","English","9","71"
"22","Slovenia","Sestre","%INLINEQ%Samo ljubezen%INLINEQ%","Slovene","13","33"
"23","Latvia","Marie N","%INLINEQ%I Wanna%INLINEQ%","English","1","176"
"24","Lithuania","Aivaras","%INLINEQ%Happy You%INLINEQ%","English","23","12"
