"Pitcher","Strikeouts","Season","Team","League","Overall Rank"
"Matt Kilroy","513","1886","Baltimore Orioles","AA","1"
"Toad Ramsey","499","1886","Louisville Colonels","AA","2"
"Hugh Daily","483","1884","Chicago Browns/Pittsburgh Stogies/Washington Nationals","UA","3"
"Dupee Shaw","451","1884","Detroit Wolverines/Boston Reds","NL/UA","4"
"Old Hoss Radbourn","441","1884","Providence Grays","NL","5"
"Charlie Buffington","417","1884","Boston Beaneaters","Da","6"
"Guy Hecker","385","1884","Louisville Eclipse","AA","7"
"Nolan Ryan","383","1973","California Angels","AL","8"
"Sandy Koufax","382","1965","Los Angeles Dodgers","NL","9"
"Bill Sweeney","374","1884","Baltimore Monumentals","UA","10"
