"Name","","Type","Inaug.","No Blocks","No Units","Notes"
"Cheung Sha Wan Estate (new)","長沙灣邨","Public","2013","2","1,400","Original estate demolished 2001"
"Fortune Estate","幸福邨","Public","2000","3","2,125",""
"Hang Chun Court","幸俊苑","HOS","2001","2","740",""
"Hoi Lai Estate","海麗邨","Public","2004","12","4,908",""
"Lai Chi Estate","麗智邨","Public","2019","6","","Under construction"
"Lei Cheng Uk Estate","李鄭屋邨","TPS","1984","10","1,608",""
"Po Hei Court","寶熙苑","HOS","1993","2","390",""
"Po Lai Court","寶麗苑","HOS","1987","3","378",""
"So Uk Estate","蘇屋邨","Public","1960","16","5,316",""
"Un Chau Estate","元州邨","Public","1998","5","2,797",""
