"No. overall","No. in season","Title","Directed by","Written by","Original air date","Prod. code","US viewers (millions)"
"26","1",""Bitchcraft"","Alfonso Gomez-Rejon","Ryan Murphy & Brad Falchuk","October 9, 2013","3ATS01","5.54"
"27","2",""Boy Parts"","Michael Rymer","Tim Minear","October 16, 2013","3ATS02","4.51"
"28","3",""The Replacements"","Alfonso Gomez-Rejon","James Wong","October 23, 2013","3ATS03","3.78"
"29","4",""Fearful Pranks Ensue"","Michael Uppendahl","Jennifer Salt","October 30, 2013","3ATS04","3.71"
"30","5",""Burn, Witch. Burn!"","Jeremy Podeswa","Jessica Sharzer","November 6, 2013","3ATS05","3.80"
"31","6",""The Axeman Cometh"","Michael Uppendahl","Douglas Petrie","November 13, 2013","3ATS06","4.16"
"32","7",""The Dead"","Bradley Buecker","Brad Falchuk","November 20, 2013","3ATS07","4.00"
"33","8",""The Sacred Taking"","Alfonso Gomez-Rejon","Ryan Murphy","December 4, 2013","3ATS08","4.07"
"34","9",""Head"","Howard Deutch","Tim Minear","December 11, 2013","3ATS09","3.94"
"35","10",""The Magical Delights of Stevie Nicks"","Alfonso Gomez-Rejon","James Wong","January 8, 2014","3ATS10","3.49"
"36","11",""Protect the Coven"","Bradley Buecker","Jennifer Salt","January 15, 2014","3ATS11","3.46"
"37","12",""Go to Hell"","Alfonso Gomez-Rejon","Jessica Sharzer","January 22, 2014","3ATS12","3.35"
"38","13",""The Seven Wonders"","Alfonso Gomez-Rejon","Douglas Petrie","January 29, 2014","3ATS13","4.24"
