"#","Event year","Season","Flag bearer","Sport"
"10","2016","Summer","Flings Owusu-Agyapong","Athletics"
"9","2012","Summer","Amponsah, MaxwellMaxwell Amponsah","Boxing"
"8","2010","Winter","Nkrumah-Acheampong, KwameKwame Nkrumah-Acheampong","Alpine Skiing"
"7","2008","Summer","Anim, VidaVida Anim","Athletics"
"6","2004","Summer","Owusu, AndrewAndrew Owusu","Athletics"
"5","2000","Summer","Osei, KennedyKennedy Osei","Athletics"
"4","1996","Summer","Tijani, MoroMoro Tijani","Boxing"
"3","1988","Summer","Myles-Mills, JohnJohn Myles-Mills","Athletics"
"2","1984","Summer","Djan, MakariosMakarios Djan","Athletics"
"1","1972","Summer","Bugri, SamSam Bugri","Athletics"
