"Rank","Heat","Name","Nationality","Result","Points","Notes","Total"
"1","2","Damian Warner","Canada","7.67","1066","SB","4557"
"2","2","Kevin Mayer","France","7.83","1025","","4561"
"3","1","Kai Kazmirek","Germany","7.95","994","PB","4416"
"4","2","Eelco Sintnicolaas","Netherlands","7.97","989","SB","4184"
"5","2","Dominik Distelberger","Austria","7.98","987","","4202"
"6","1","Zachery Ziemek","United States","8.14","947","","4252"
"7","1","Maicel Uibo","Estonia","8.19","935","PB","4371"
"8","2","Jan Doležal","Czech Republic","8.20","932","","4169"
"9","1","Ruben Gado","France","8.47","867","","4100"
"","2","Oleksiy Kasyanov","Ukraine","DQ","0","168.7(b)","3378"
"","1","Lindon Victor","Grenada","DNS","","","0"
