"Pieces","Name of puzzle","Company","Year","Size [cm]","Area [m2]"
"52,110","(No title: collage of animals)","MartinPuzzle","2018","696.0 × 201.5","14.024"
"51,300","27 Wonders from Around the World","Kodak","2019","868.7 × 190.5","16.53"
"48,000","Around the World","Grafika","2017","768.0 × 204.0","15.667"
"42,000","La vuelta al Mundo","Educa","2017","749.0 × 157.0","11.759"
"40,320","Making Mickey Magic","Ravensburger","2018","680.0 × 192.0","13.056"
"40,320","Memorable Disney Moments","Ravensburger","2016","680.0 × 192.0","13.056"
"33,600","Wild Life","Educa","2014","570.0 × 157.0","8.9495"
"32,256","New York City Window","Ravensburger","2014","544.0 × 192.0","10.445"
"32,256","Double Retrospect","Ravensburger","2010","544.0 × 192.0","10.445"
"24,000","Life, The greatest puzzle","Educa","2007","428.0 × 157.0","6.720"
