"Draw","Country","Artist","Song","Language","Place","Points"
"01","Finland","Carita","%INLINEQ%Keep Me Warm%INLINEQ%","English","13","4"
"02","United Kingdom","Olivia Newton-John","%INLINEQ%Long Live Love%INLINEQ%","English","4","14"
"03","Spain","Peret","%INLINEQ%Canta y sé feliz%INLINEQ%","Spanish","9","10"
"04","Norway","Anne-Karine Strøm feat. Bendik Singers","%INLINEQ%The First Day of Love%INLINEQ%","English","14","3"
"05","Greece","Marinella","%INLINEQ%Krasi, thalassa ke t' agori mou%INLINEQ% (Κρασί, θάλασσα και τ' αγόρι μου)","Greek","11","7"
"06","Israel","Kaveret","%INLINEQ%Natati La Khayay%INLINEQ% (נתתי לה חיי)","Hebrew","7","11"
"07","Yugoslavia","Korni Grupa","%INLINEQ%Generacija '42%INLINEQ% (Генерација '42)","Serbian","12","6"
"08","Sweden","ABBA","%INLINEQ%Waterloo%INLINEQ%","English","1","24"
"09","Luxembourg","Ireen Sheer","%INLINEQ%Bye Bye I Love You%INLINEQ%","French","4","14"
"10","Monaco","Romuald","%INLINEQ%Celui qui reste et celui qui s'en va%INLINEQ%","French","4","14"
"11","Belgium","Jacques Hustin","%INLINEQ%Fleur de liberté%INLINEQ%","French","9","10"
"12","Netherlands","Mouth & MacNeal","%INLINEQ%I See a Star%INLINEQ%","English","3","15"
"13","Ireland","Tina Reynolds","%INLINEQ%Cross Your Heart%INLINEQ%","English","7","11"
"14","Germany","Cindy & Bert","%INLINEQ%Die Sommermelodie%INLINEQ%","German","14","3"
"15","Switzerland","Piera Martell","%INLINEQ%Mein Ruf nach dir%INLINEQ%","German","14","3"
"16","Portugal","Paulo de Carvalho","%INLINEQ%E depois do adeus%INLINEQ%","Portuguese","14","3"
"17","Italy","Gigliola Cinquetti","%INLINEQ%Sì%INLINEQ%","Italian","2","18"
