"Constituency No","Name of the Constituencies","Electoral Population","Ethnic Representants",""
"1","Grand River North West and Port Louis West","40,572","Mauritian",""
"2","Port Louis South and Port Louis Central","24,642","Mauritian",""
"3","Port Louis Maritime and Port Louis East","22,488","Mauritian",""
"4","Port Louis North and Montagne Longue","46,179","Mauritian",""
"5","Pamplemousses and Triolet","56,620","Mauritian",""
"6","Grand Baie and Poudre d'Or","48,379","Mauritian",""
"7","Piton and Riviere du Rempart","40,624","Mauritian",""
"8","Quartier Militaire and Moka","41,342","Mauritian",""
"9","Flacq and Bon Acceuil","50,883","Mauritian",""
"10","Montagne Blanche and Grand River South East","47,296","Mauritian",""
"11","Vieux Grand Port and Rose Belle","39,432","Mauritian",""
"12","Mahebourg and Plaine Magnien","36,242","Mauritian",""
"13","Riviere des Anguilles and Souillac","33,169","Mauritian",""
"14","Savanne and Black River","58,341","Mauritian",""
"15","La Caverne and Phoenix","53,548","Mauritian",""
"16","Vacoas and Floreal","44,053","Mauritian Mauritian",""
"17","Curepipe and Midlands","45,346","Mauritian Mauritian",""
"18","Belle Rose and Quatre Bornes","42,173","Mauritian Mauritian",""
"19","Stanley and Rose Hill","38,982","Mauritian",""
"20","Beau Bassin and Petite Riviere","42,656","Mauritian Mauritian",""
"21","Rodrigues","26,930","Mauritian",""
