"#","Event year","Season","Flag bearer","Sport"
"22","2018","Winter","Dinos Lefkaritis","Alpine skiing"
"20","2016","Summer","Kontides, PavlosPavlos Kontides","Laser sailing"
"19","2014","Winter","Papamichael, ConstantinosConstantinos Papamichael","Alpine skiing"
"18","2012","Summer","Baghdatis, MarcosMarcos Baghdatis","Tennis"
"17","2010","Winter","Papamichalopoulos, ChristopherChristopher Papamichalopoulos","Alpine skiing"
"16","2008","Summer","Achilleos, GeorgiosGeorgios Achilleos","Skeet shooting"
"15","2006","Winter","Christodoulou, TheodorosTheodoros Christodoulou","Alpine skiing"
"14","2004","Summer","Achilleos, GeorgiosGeorgios Achilleos","Skeet shooting"
"13","2002","Winter","Christodoulou, TheodorosTheodoros Christodoulou","Alpine skiing"
"12","2000","Summer","Andreou, AntonakisAntonakis Andreou","Skeet shooting"
"11","1998","Winter","Vasili, AndreasAndreas Vasili","Alpine skiing"
"10","1996","Summer","Marcoullides, AnninosAnninos Marcoullides","Athletics"
"9","1994","Winter","Fotiadou, KarolinaKarolina Fotiadou","Alpine skiing"
"8","1992","Summer","Hadjiandreou, MariosMarios Hadjiandreou","Athletics"
"7","1992","Winter","Aristodimou, SokratisSokratis Aristodimou","Alpine skiing"
"6","1988","Summer","Tymbios, MikhalakisMikhalakis Tymbios","Skeet shooting"
"5","1988","Winter","Fotiadou, KarolinaKarolina Fotiadou","Alpine skiing"
"4","1984","Summer","Kassianidis, MariosMarios Kassianidis","Athletics"
"3","1984","Winter","Fotiadis, AlexisAlexis Fotiadis","Alpine skiing"
"2","1980","Summer","Papakostas, KostasKostas Papakostas","Judo"
"1","1980","Winter","Pilavakis, AndreasAndreas Pilavakis","Alpine skiing"
