"Year","Chassis","Engine","Start","Finish","Team"
"2006","Dallara","Honda","9","2","Andretti Green"
"2007","Dallara","Honda","9","24","Andretti Green"
"2008","Dallara","Honda","7","3","Andretti Green"
"2009","Dallara","Honda","8","30","Andretti Green"
"2010","Dallara","Honda","16","3","Andretti Autosport"
"2011","Dallara","Honda","27","9","Andretti Autosport"
"2012","Dallara","Chevrolet","4","24","Andretti Autosport"
"2013","Dallara","Chevrolet","3","4","Andretti Autosport"
"2014","Dallara","Honda","6","3","Andretti Autosport"
"2015","Dallara","Honda","8","6","Andretti Autosport"
"2016","Dallara","Honda","14","13","Andretti Autosport"
"2017","Dallara","Honda","8","8","Andretti Autosport with Yorrow"
"2018","Dallara","Honda","12","12","Andretti Herta Autosport with Curb-Agajanian"
