"Rank","Single","Year released","Artist(s)","Peak and duration"
"1.",""Truly Madly Deeply"","1997","Savage Garden","#1 for 11 weeks"
"2.",""Lead Me On"","1978","Maxine Nightingale","#1 for 7 weeks"
"3.",""Drift Away"","2003","Uncle Kracker featuring Dobie Gray","#1 for 28 weeks"
"4.",""Heaven"","2004","Los Lonely Boys","#1 for 18 weeks"
"5.",""Born Free"","1966","Roger Williams","#1 for 6 weeks"
"6.",""Hello Dolly!"","1964","Louis Armstrong and The All Stars","#1 for 9 weeks"
"7.",""You Needed Me"","1978","Anne Murray","#3 for 3 weeks"
"8.",""Change the World"","1996","Eric Clapton","#1 for 13 weeks"
"9.",""Hero"","2001","Enrique Iglesias","#1 for 15 weeks"
"10.",""Lonely No More"","2005","Rob Thomas","#1 for 18 weeks"
