"Name","Position","Draft year","Drafted Team","Round","Overall pick"
"Glen Selbo","Guard","1947","Toronto Huskies","1","2"
"Bobby Cook","Guard","1948","Fort Wayne Pistons","2","N/A"
"Ed Mills","N/A","1948","Chicago Stags","2","N/A"
"Don Rehfeldt","Small forward","1950","Baltimore Bullets","1","2"
"Ab Nicholas","Guard","1950","Milwaukee Hawks","11","N/A"
"Ron Weisner","N/A","1954","Milwaukee Hawks","12","97"
"Dick Cable","N/A","1955","St. Louis Hawks","15","N/A"
"Dick Miller","N/A","1956","New York Knicks","11","N/A"
"Ken Siebel","N/A","1963","Baltimore Bullets","6","46"
"Ron Jackson","N/A","1963","Baltimore Bullets","9","69"
"Jack Brens","N/A","1964","New York Knicks","9","71"
"Ken Barnes","N/A","1966","Baltimore Bullets","16","109"
"Joe Franklin","N/A","1968","Milwaukee Bucks","5","64"
"Jim Johnson","N/A","1969","Boston Celtics","7","94"
"John Schell","N/A","1969","Milwaukee Bucks","8","101"
"Al Henry","Center","1970","Philadelphia 76ers","1","12"
"Clarence Sherrod","N/A","1971","Chicago Bulls","8","134"
"Gary Watson","N/A","1972","Philadelphia 76ers","10","147"
"Kim Hughes","Center","1974","Buffalo Braves","3","45"
"Kerry Hughes","Forward","1974","Cleveland Cavaliers","8","129"
"Dale Koehler","Center","1976","Cleveland Cavaliers","8","123"
"Bob Johnson","N/A","1976","Detroit Pistons","10","161"
"Wes Matthews","Point guard","1980","Washington Bullets","1","14"
"Joseph Chrnelich","Center","1980","New York Knicks","4","82"
"Claude Gregory","Power forward","1981","Washington Bullets","2","41"
"Larry Petty","Center","1981","Los Angeles Lakers","7","157"
"Cory Blackwell","Small forward","1984","Seattle SuperSonics","2","48"
"Scott Roth","Small forward","1985","San Antonio Spurs","4","82"
"Rick Olson","Guard","1986","Houston Rockets","7","158"
"J. J. Weber","Center","1987","Milwaukee Bucks","3","64"
"Michael Finley","Small forward","1995","Phoenix Suns","1","21"
"Rashard Griffith","Center","1995","Milwaukee Bucks","2","28"
"Paul Grant","Center","1997","Minnesota Timberwolves","1","20"
"Devin Harris","Point guard","2004","Washington Wizards","1","5"
"Alando Tucker","Shooting guard","2007","Phoenix Suns","1","29"
"Jon Leuer","Power forward","2011","Milwaukee Bucks","2","40"
"Frank Kaminsky","Power forward","2015","Charlotte Hornets","1","9"
"Sam Dekker","Small forward","2015","Houston Rockets","1","18"
