"Year","Passengers","Change","Aircraft movements","Change"
"1990","672,241","N/A","N/A","N/A"
"1996","33,612","N/A","3,179","N/A"
"1997","63,747","89,7%","3,596","13,1%"
"1998","66,934","5,0%","3,698","2,8%"
"1999","53,360","20,3%","3,183","13,9%"
"2000","66,772","25,1%","4,106","29%"
"2001","102,985","54,2%","4,617","12,5%"
"2002","140,431","36,4%","5,475","18,6%"
"2003","136,207","3,1%","5,903","7,8%"
"2004","155,566","14,2%","6,859","16,2%"
"2005","209,412","34,6%","7,539","9,9%"
"2006","295,342","41,0%","7,895","4,7%"
"2007","384,487","30,2%","8,458","7,1%"
"2008","397,363","3,4%","9,408","11,2%"
"2009","318,838","19,8%","9,126","3,0%"
"2010","332,399","4,3%","6,830","25,2%"
"2011","355,920","7,1%","6,984","2,3%"
"2012","367,455","3,2%","7,132","2,1%"
"2013","351,196","4,4%","7,292","2,2%"
"2014","382,992","9,1%","7,106","2,6%"
"2015","359,426","6,2%","6,954","2,1%"
"2016","436,121","21,3%","7,692","10,6%"
"2017","595,812","36,5%","9,288","20,7%"
"2018","717,187","20,3%","9,686","8,4%"
