"Draw","Country","Artist","Song","Language","Place","Points"
"01","Luxembourg","Sherisse Laurence","%INLINEQ%L'amour de ma vie%INLINEQ%","French","3","117"
"02","Yugoslavia","Doris Dragović","%INLINEQ%Željo moja%INLINEQ%","Croatian","11","49"
"03","France","Cocktail Chic","%INLINEQ%Européennes%INLINEQ%","French","17","13"
"04","Norway","Ketil Stokkan","%INLINEQ%Romeo%INLINEQ%","Norwegian","12","44"
"05","United Kingdom","Ryder","%INLINEQ%Runner in the Night%INLINEQ%","English","7","72"
"06","Iceland","ICY","%INLINEQ%Gleðibankinn%INLINEQ%","Icelandic","16","19"
"07","Netherlands","Frizzle Sizzle","%INLINEQ%Alles heeft ritme%INLINEQ%","Dutch","13","40"
"08","Turkey","Klips ve Onlar","%INLINEQ%Halley%INLINEQ%","Turkish","9","53"
"09","Spain","Cadillac","%INLINEQ%Valentino%INLINEQ%","Spanish","10","51"
"10","Switzerland","Daniela Simmons","%INLINEQ%Pas pour moi%INLINEQ%","French","2","140"
"11","Israel","Moti Giladi & Sarai Tzuriel","%INLINEQ%Yavo Yom%INLINEQ% (יבוא יום)","Hebrew","19","7"
"12","Ireland","Luv Bug","%INLINEQ%You Can Count On Me%INLINEQ%","English","4","96"
"13","Belgium","Sandra Kim","%INLINEQ%J'aime la vie%INLINEQ%","French","1","176"
"14","Germany","Ingrid Peters","%INLINEQ%Über die Brücke geh'n%INLINEQ%","German","8","62"
"15","Cyprus","Elpida","%INLINEQ%Tora zo%INLINEQ% (Τώρα ζω)","Greek","20","4"
"16","Austria","Timna Brauer","%INLINEQ%Die Zeit ist einsam%INLINEQ%","German","18","12"
"17","Sweden","Lasse Holm & Monica Törnell","%INLINEQ%E' de' det här du kallar kärlek?%INLINEQ%","Swedish","5","78"
"18","Denmark","Lise Haavik","%INLINEQ%Du er fuld af løgn%INLINEQ%","Danish","6","77"
"19","Finland","Kari Kuivalainen","%INLINEQ%Never the End%INLINEQ%","Finnish","15","22"
"20","Portugal","Dora","%INLINEQ%Não sejas mau para mim%INLINEQ%","Portuguese","14","28"
