"Year","Country","Video","Performer","Points","Host city"
"2003","France","%INLINEQ%Fan%INLINEQ%","Pascal Obispo","122","Turkey Istanbul"
"2004","Portugal","%INLINEQ%Cavaleiro Monge%INLINEQ%","Mariza","133","France Fontainebleau"
"2005","Ukraine","%INLINEQ%I Will Forget You%INLINEQ%","Svetlana Loboda","171","Portugal Lisbon"
"2006","Italy","%INLINEQ%Contromano%INLINEQ%","Nek","106","Turkey Izmir"
"2007","Russia","%INLINEQ%LML%INLINEQ%","Via Gra","198","Italy Florence"
"2008","Russia","%INLINEQ%Potselui%INLINEQ%","Via Gra","140","Russia Moscow"
"2009","Russia","%INLINEQ%Karma%INLINEQ%","Yin-Yang","142","Russia Saint Petersburg"
"2010","Poland","%INLINEQ%Kim tu jestem%INLINEQ%","Justyna Steczkowska","85","Russia Volgograd"
"2011","France","%INLINEQ%Lonely Lisa%INLINEQ%","Mylène Farmer","96","Poland Wrocław"
"2012","Italy","%INLINEQ%È l'amore che conta%INLINEQ%","Giorgia","135","France Paris"
"2013","Belgium","%INLINEQ%Papaoutai%INLINEQ%","Stromae","144","Italy Turin"
"2014","France","%INLINEQ%Tourner dans le vide%INLINEQ%","Indila","141","Belgium Brussels"
"2015","Germany","%INLINEQ%Gäa%INLINEQ%","Oonagh","122","France Paris"
"2016","United Kingdom","%INLINEQ%Hymn For The Weekend%INLINEQ%","Coldplay","673","Germany Lüneburg"
"2017","Belgium","%INLINEQ%Mud Blood%INLINEQ%","Loïc Nottet","184","United Kingdom London"
"2018","Czech Republic","%INLINEQ%Me Gusta%INLINEQ%","Mikolas Josef","132","Belgium"
