"From","To","Name","Party","Position"
"1790","1805","Bascourret","",""
"1805","1807","Pouey-Davant","",""
"1807","1811","Jean Labory","",""
"1811","1815","Bascourret","",""
"1815","1816","Jean Louis Poey-Davant","",""
"1816","1831","Bayle","",""
"1831","1842","Jean Reyau","",""
"1842","1848","Augustin Casalet","",""
"1848","1853","Jean Hourcade","",""
"1853","1857","Augustin Casalet","",""
"1857","1865","Jean Marie Labory","",""
"1865","1871","Jean Vignau","",""
"1871","1876","Jean Larrague","",""
"1876","1892","Barthélémy Hourcade","",""
"1892","1896","Jean Sarragnacq","",""
"1896","1914","Joseph Loustalot","",""
"1914","1919","Ferdinand Bascourret","",""
"1919","1924","Joseph Loustalot","",""
"1924","1925","Jérôme Loune","",""
"1925","1944","Pierre Labayrade","",""
"1944","1945","Lucien Darribau","",""
"1945","1965","François Cassieula","",""
"1965","1976","René Camy","",""
"1976","2001","Lucien Hondet","",""
"2001","2008","Philippe Boillot","",""
"2014","2020","Martine Rodriguez","",""
