"Rank","Name","Height m / feet","Floors","Year","Notes"
"1","Forum 66 Tower 2","351 / 1150","68","2015",""
"2","Shenyang Royal Wan Xin International Mansion Tower A","219 / 719","45","2009",""
"3","Northeast Electric Power Mansion","188 / 617","43","1997",""
"4","Northeast Media Culture Plaza","187 / 615","43","2011",""
"5","Shenyang New Hengji Center","186 / 610","44","2003",""
"6","Shenyang Fortune Center 2","180 / 591","46","2008",""
"7=","Shimao Wulihe City Tower 1","178 / 591","58","2011",""
"7=","Shimao Wulihe City Tower 4","178 / 591","58","2012",""
"9","China Resources Building","173 / 568","33","2011",""
"10","Dongda Liwan International Apartment","167 / 548","47","2012",""
"11","Shimao Wulihe City Tower 6","166 / 543","54","2012",""
"12","Shimao Wulihe City Tower 3","160 / 524","52","2011",""
"13=","Shenyang Royal Wan Xin International Mansion Tower B","152 / 499","38","2009",""
"13=","Shenyang Royal Wan Xin International Mansion Tower C","152 / 499","38","2009",""
"15=","Fanhua Square","150 / 492","38","2012",""
"15=","Huaqiang Square","150 / 492","35","2012",""
