"From","To","Name","Party","Position"
"1790","1791","Gacou","",""
"1791","1795","Gilbert Michel Colonjon","",""
"1795","1797","Jean-Marie Desfrançois de Lolme","",""
"1798","1799","Chabert","",""
"1799","1802","Michel Marie Chapuis","",""
"1802","1815","Jean-Marie Desfrançois de Lolme","",""
"1815","1817","Mathieu Louis Pierre Duret","",""
"1817","1823","Pierre François Lioud","",""
"1823","1830","Louis Laurent Giraud","",""
"1830","1848","Jean André Tavernier","",""
"1848","1870","Etienne André Frachon","",""
"1871","1874","Charles Chapuis","",""
"1874","1878","Joseph Jean Lacaze","",""
"1878","1880","François Auguste Riboulon","",""
"1880","1882","Etienne Isidore Léon Adheran","",""
"1882","1888","François Henry (called Franki) Kramer","",""
"1894","1897","Marcellin Garnier","",""
"1897","1901","Saturnin Alexandre Deaux","",""
"1900","1904","Paul Eugène Geal","",""
"1904","1919","Antoine Grimaud","",""
"1919","1925","Lucien Bayle","",""
"1925","1927","Léon Moirand","",""
"1927","1935","Gustave Lapluye","",""
"1935","1942","Gaston Duclos","",""
