"Player","Years","GP","G","A","Pts","PIM"
"Brendan Morrison","1993–1997","155","102","182","284",""
"Denny Felsner","1988–1992","162","139","122","261",""
"Brian Wiseman","1990–1994","166","84","164","248",""
"David Roberts","1989–1993","169","90","157","247",""
"Dave Debol","1974–1978","166","112","134","246",""
"Brad Jones","1983–1987","147","89","138","227",""
"Bill Muckalt","1994–1998","162","105","121","226",""
"T. J. Hensick","2003–2007","131","75","147","222",""
"Neil Celley","1945–1946, 1948–1951","","119","96","215",""
"Gordon McMillan","1945–1949","90","99","114","213",""
