"State","Contestant","Age","Height (m)","Hometown"
"Aguascalientes Aguascalientes","Yolanda Carolina Berumen Ramírez","22","1.72","Aguascalientes"
"Baja California Baja California","Bianca Grisel Avilez Urias","21","1.71","Tijuana"
"Baja California Sur Baja California Sur","Beatríz Castro Barraza","18","1.77","La Paz"
"Campeche Campeche","María Beatríz Ortegón Baqueiro","19","1.75","Campeche"
"Campeche Campeche","Samantha Juárez Rodríguez De la Gala","21","1.70","Campeche"
"Coahuila Coahuila","Melissa Cantú Rosales","22","1.75","Torreón"
"Chihuahua (state) Chihuahua","Elsa Salgado Quiñonez","22","1.78","Chihuahua"
"Mexico City Distrito Federal","Dafne Molina Lona","22","1.79","Mexico City"
"Durango Durango","Vanessa Zaldívar Pérez","23","1.77","Durango"
"Guanajuato Guanajuato","Ana Paulina Hurtado Castro","22","1.76","León"
"Guerrero Guerrero","Priscila Avellaneda Padilla","21","1.73","Acapulco"
"Jalisco Jalisco","Gabriela Vázquez Patrón","21","1.83","Guadalajara"
"Jalisco Jalisco","Joanna Rivera Sibson","23","1.70","Zapopan"
"Michoacán Michacán","Elizabeth Cortez Orozco","18","1.69","Apatzingán"
"Nayarit Nayarit","Paulina Pérez Parra","20","1.69","Tepic"
"Nuevo León Nuevo León","Ana Paola De la Parra Goldbaum","20","1.75","Monterrey"
"Puebla Puebla","María Vanessa Polo Cajica","19","1.76","Puebla"
"San Luis Potosí San Luis Potosí","Ana Sofía Escobosa González","20","1.78","San Luis Potosí"
"Sinaloa Sinaloa","Emma Lucía Aragón Sánchez","22","1.72","Culiacán"
"Sonora Sonora","Alexia Vázquez Verdugo","21","1.74","Hermosillo"
"Sonora Sonora","Carolina Karam Baez","21","1.72","Huatabampo"
"Tamaulipas Tamaulipas","Laura Elizondo Erhard","20","1.73","Tampico"
"Veracruz Veracruz","Melina Rivera Robert","20","1.68","Veracruz"
"Yucatán Yucatán","María Esther Molina Fuente","22","1.75","Mérida"
"Zacatecas Zacatecas","Diana Cristina Escamilla González","22","1.73","Zacatecas"
