"Stadium name","Team","Location","Opened","Capacity","Surface","Ref"
"Estadio Centenario 27 de Febrero","Olmecas de Tabasco","Villahermosa, Tabasco","1964","10,500","Grass",""
"Estadio de Béisbol Alberto Romo Chávez","Rieleros de Aguascalientes","Aguascalientes, Aguascalientes","1946","9,000","Grass",""
"Estadio de Béisbol Francisco I. Madero","Saraperos de Saltillo","Saltillo, Coahuila","1964","16,000","Grass",""
"Estadio de Béisbol Hermanos Serdán","Pericos de Puebla","Puebla, Puebla","1973","12,100","Grass",""
"Estadio de Béisbol Monclova","Acereros de Monclova","Monclova, Coahuila","1975","11,000","Grass",""
"Estadio de Béisbol Monterrey","Sultanes de Monterrey","Monterrey, Nuevo León","1990","27,000","Grass",""
"Estadio Domingo Santana","Bravos de León","León, Guanajuato","1973","8,500","Grass",""
"Estadio Eduardo Vasconcelos","Guerreros de Oaxaca","Oaxaca, Oaxaca","1950","7,200","FieldTurf",""
"Estadio Francisco Villa","Generales de Durango","Durango, Durango","1972","9,000","Grass",""
"Estadio Gasmart","Toros de Tijuana","Tijuana, Baja California","1977","16,811","Grass",""
"Estadio Nelson Barrera","Piratas de Campeche","Campeche, Campeche","2001","6,000","Grass",""
"Estadio Revolución","Algodoneros de Unión Laguna","Torreón, Coahuila","1932","12,000","Grass",""
"Estadio Universitario Beto Ávila","Rojos del Águila de Veracruz","Veracruz, Veracruz","1992","7,782","Grass",""
"Estadio Alfredo Harp Helú","Diablos Rojos del México","Mexico City","2019","20,000","Grass",""
"Parque la Junta","Tecolotes de los Dos Laredos","Nuevo Laredo, Tamaulipas","1947","6,000","Grass",""
"Parque Kukulcán Alamo","Leones de Yucatán","Mérida, Yucatán","1982","16,000","Grass",""
"Uni-Trade Stadium","Tecolotes de los Dos Laredos","Laredo, Texas","2012","6,000","Grass",""
